Ball,Times Drawn,Percentage Drawn
24,36,3.6
31,36,3.6
21,32,3.2
35,32,3.2
26,30,3.0
30,30,3.0
33,30,3.0
34,30,3.0
27,29,2.9
39,29,2.9
28,28,2.8
29,27,2.7
20,26,2.6
17,25,2.5
25,25,2.5
32,24,2.4
41,24,2.4
19,23,2.3
38,23,2.3
23,22,2.2
44,22,2.2
45,22,2.2
36,21,2.1
40,20,2.0
42,20,2.0
51,20,2.0
18,19,1.9
22,19,1.9
46,18,1.8
13,17,1.7
37,17,1.7
12,15,1.5
53,15,1.5
43,14,1.4
15,13,1.3
48,13,1.3
49,13,1.3
14,12,1.2
47,12,1.2
16,11,1.1
54,10,1.0
10,9,0.9
52,9,0.9
11,8,0.8
50,7,0.7
55,7,0.7
58,5,0.5
59,5,0.5
61,5,0.5
62,5,0.5
7,4,0.4
8,4,0.4
56,4,0.4
57,4,0.4
60,3,0.3
63,3,0.3
4,2,0.2
5,2,0.2
6,2,0.2
9,2,0.2
68,2,0.2
64,1,0.1
65,1,0.1
66,1,0.1
67,1,0.1
1,0,0.0
2,0,0.0
3,0,0.0
69,0,0.0
70,0,0.0
