Ball,Times Drawn,Percentage Drawn
1,72,7.91
3,64,7.03
2,61,6.7
5,60,6.59
4,56,6.15
9,47,5.16
8,45,4.95
7,43,4.73
10,43,4.73
11,42,4.62
6,38,4.18
12,32,3.52
13,32,3.52
14,31,3.41
17,26,2.86
16,23,2.53
23,19,2.09
18,18,1.98
22,18,1.98
20,17,1.87
24,16,1.76
19,15,1.65
15,13,1.43
28,11,1.21
21,10,1.1
30,9,0.99
25,8,0.88
29,6,0.66
32,4,0.44
34,4,0.44
37,4,0.44
26,3,0.33
27,3,0.33
31,2,0.22
33,2,0.22
36,2,0.22
38,2,0.22
41,2,0.22
35,1,0.11
39,1,0.11
40,1,0.11
43,1,0.11
44,1,0.11
48,1,0.11
50,1,0.11
42,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
49,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
