Ball,Times Drawn,Percentage Drawn
23,90,1.98
28,90,1.98
41,88,1.93
54,85,1.87
32,84,1.85
10,83,1.82
39,81,1.78
52,81,1.78
11,80,1.76
12,80,1.76
22,80,1.76
45,80,1.76
17,79,1.74
20,79,1.74
13,78,1.71
14,78,1.71
16,78,1.71
3,77,1.69
40,77,1.69
9,76,1.67
36,76,1.67
59,76,1.67
7,75,1.65
19,74,1.63
57,74,1.63
44,73,1.6
49,73,1.6
1,72,1.58
8,72,1.58
55,72,1.58
24,71,1.56
25,71,1.56
31,71,1.56
48,71,1.56
56,71,1.56
5,70,1.54
30,70,1.54
18,69,1.52
50,69,1.52
53,69,1.52
27,68,1.49
29,68,1.49
33,68,1.49
38,68,1.49
47,68,1.49
21,67,1.47
58,67,1.47
51,66,1.45
2,64,1.41
4,64,1.41
37,64,1.41
26,63,1.38
42,63,1.38
34,62,1.36
43,62,1.36
46,62,1.36
6,61,1.34
15,58,1.27
35,53,1.16
64,37,0.81
69,35,0.77
61,33,0.73
63,31,0.68
62,30,0.66
68,24,0.53
66,23,0.51
67,23,0.51
60,19,0.42
65,16,0.35
